week,commits,additions,additions_per_commit,user1,user2,user3,user4
1483833600,1,2,2,1,0,0,0
1484438400,6,52,8,1,0,5,0
1485043200,9,170,18,0,5,4,0
1485648000,8,92,11,2,4,2,0
1486252800,0,0,0,0,0,0,0
1486857600,3,909,303,0,0,3,0
1487462400,23,564490,24543,6,4,13,0
1488067200,6,566,94,2,0,4,0
1488672000,2,106,53,1,1,0,0
1489276800,0,0,0,0,0,0,0
1489881600,0,0,0,0,0,0,0
1490486400,0,0,0,0,0,0,0
1491091200,4,0,0,0,4,0,0
1491696000,0,0,0,0,0,0,0
1492300800,0,0,0,0,0,0,0
1492905600,0,0,0,0,0,0,0
