week,commits,additions,additions_per_commit,user1,user2,user3,user4
01-14,6,229,38,0,0,6,0
01-21,0,0,0,0,0,0,0
01-28,1,0,0,0,0,1,0
02-04,16,71155,4447,2,5,9,0
02-11,10,9755,975,0,5,5,0
02-18,15,2699,179,4,4,7,0
02-25,3,60,20,0,1,2,0
03-04,0,0,0,0,0,0,0
03-11,3,412,137,0,0,3,0
03-18,2,0,0,1,1,0,0
03-25,0,0,0,0,0,0,0
04-01,2,0,0,0,0,2,0
04-08,0,0,0,0,0,0,0
04-15,0,0,0,0,0,0,0
04-22,0,0,0,0,0,0,0
