week,commits,additions,additions_per_commit,user1,user2,user3,user4
01-28,5,0,0,0,0,5,0
02-04,0,0,0,0,0,0,0
02-11,3,1206,402,0,3,0,0
02-18,16,1804,112,0,10,6,0
02-25,3,496,165,1,1,1,0
03-04,4,58,14,2,2,0,0
03-11,7,744,106,0,2,5,0
03-18,0,0,0,0,0,0,0
03-25,13,855,65,0,3,10,0
04-01,9,593,65,1,5,3,0
04-08,0,0,0,0,0,0,0
04-15,0,0,0,0,0,0,0
04-22,0,0,0,0,0,0,0
