week,commits,additions,additions_per_commit,user1,user2,user3,user4
02-04,9,2904,322,4,4,1,0
02-11,23,1763,76,0,4,19,0
02-18,15,470,31,0,11,4,0
02-25,6,25,4,0,0,6,0
03-04,62,2229,35,0,12,50,0
03-11,0,0,0,0,0,0,0
03-18,0,0,0,0,0,0,0
03-25,4,2,0,0,0,4,0
04-01,0,0,0,0,0,0,0
04-08,0,0,0,0,0,0,0
04-15,0,0,0,0,0,0,0
04-22,0,0,0,0,0,0,0
