week,commits,additions,additions_per_commit,user1,user2,user3,user4
02-04,27,7457,276,21,5,1,0
02-11,53,2350,44,30,4,19,0
02-18,18,739,41,3,11,4,0
02-25,7,80,11,0,0,6,0
03-04,69,2912,42,7,12,50,0
03-11,0,0,0,0,0,0,0
03-18,0,0,0,0,0,0,0
03-25,9,8,0,5,0,4,0
04-01,0,0,0,0,0,0,0
04-08,0,0,0,0,0,0,0
04-15,0,0,0,0,0,0,0
04-22,0,0,0,0,0,0,0
