week,commits,additions,additions_per_commit
1,0,0,0
2,25,924,36.96
3,18,696,38.66666667
4,2,12,6
5,2,23,11.5
6,0,0,0
7,19,4696,247.1578947
8,12,6762,563.5
9,1,4,4
10,2,142,71
11,0,0,0
12,2,40368,20184
13,19,42283,2225.421053
14,0,0,0
15,0,0,0
16,0,0,0
