week,commits,additions,additions_per_commit
1,0,0,0
2,0,0,0
3,6,6132,1022
4,3,254,84.66666667
5,0,0,0
6,2,3,1.5
7,35,31119,889.1142857
8,17,5102,300.1176471
9,0,0,0
10,42,2553,60.78571429
11,1,7,7
12,162,52862,326.308642
13,7,5033,719
14,0,0,0
15,5,5154,1030.8
16,0,0,0
