id,opened_at,closed_at,due_on,closed_issues,open_issues
1,2017-01-26T19:37:29Z,2017-01-31T08:00:00Z,2017-02-06T22:38:57Z,6,0
2,2017-01-27T16:08:37Z,2017-01-28T08:00:00Z,2017-02-06T22:38:55Z,1,0
3,2017-01-27T16:32:23Z,2017-01-30T08:00:00Z,2017-02-06T22:37:49Z,0,0
4,2017-02-06T22:38:46Z,2017-02-28T08:00:00Z,,8,0
