id,opened_at,closed_at,due_on,closed_issues,open_issues
1,2017-02-06T15:22:40Z,2017-02-09T08:00:00Z,,4,0
2,2017-02-06T15:35:12Z,2017-02-12T08:00:00Z,,4,0
3,2017-02-06T15:46:32Z,2017-02-18T08:00:00Z,,6,0
4,2017-02-06T15:53:40Z,2017-02-19T08:00:00Z,,2,0
5,2017-02-06T15:59:38Z,2017-02-23T08:00:00Z,,1,0
