milestone_id,milestone_title,created_at,due_at,closed_at
2309827,Code base setup,1486571150.0,1486627200.0,1486950721.0
2309829,Setup UI for the app,1486571192.0,1486800000.0,1486950725.0
2309831,Fingerprint authentication complete,1486571216.0,1487491200.0,1487612910.0
2309833,Voice recognition setup complete,1486571238.0,1487491200.0,1487612551.0
2309835,Magic link setup complete,1486571253.0,1487491200.0,1487612908.0
2309836,Testing and debugging,1486571265.0,1490943600.0,1488998487.0
2332067,Demo day,1487437700.0,1489474800.0,1489600448.0
2372491,v3,1488998437.0,1489993200.0,0
2372495,v4,1488998568.0,1490943600.0,0
