issue_id,action_time,action,what,user,milestone,when
1,2/1/17,closed,no label,user2,,1485921949
1,1/23/17,labeled,Conversation,user2,,1485198283
1,1/23/17,assigned,no label,user0,,1485198244
1,1/23/17,assigned,no label,user3,,1485198244
1,1/23/17,assigned,no label,user1,,1485198244
1,1/23/17,assigned,no label,user2,,1485198244
2,1/24/17,closed,no label,user0,,1485292411
2,1/24/17,subscribed,no label,user1,,1485280404
2,1/24/17,mentioned,no label,user1,,1485280404
2,1/24/17,subscribed,no label,user1,,1485279716
2,1/24/17,mentioned,no label,user1,,1485279716
3,2/1/17,closed,no label,user2,,1485921949
3,1/24/17,assigned,no label,user0,,1485294547
3,1/24/17,assigned,no label,user3,,1485294547
3,1/24/17,assigned,no label,user1,,1485294547
3,1/24/17,labeled,Meeting Notes,user2,,1485294478
4,1/28/17,closed,no label,user2,January Deadline,1485561843
4,1/26/17,assigned,no label,user2,January Deadline,1485468771
4,1/26/17,milestoned,no label,user2,January Deadline,1485468771
5,2/1/17,closed,no label,user2,January Deadline,1485921949
5,1/26/17,milestoned,no label,user2,January Deadline,1485468865
5,1/26/17,assigned,no label,user0,January Deadline,1485468820
5,1/26/17,assigned,no label,user3,January Deadline,1485468820
5,1/26/17,assigned,no label,user1,January Deadline,1485468820
5,1/26/17,assigned,no label,user2,January Deadline,1485468820
6,2/1/17,closed,no label,user2,January Deadline,1485921949
6,1/26/17,assigned,no label,user1,January Deadline,1485468903
6,1/26/17,milestoned,no label,user2,January Deadline,1485468856
7,1/26/17,closed,no label,user2,January Deadline,1485470184
7,1/26/17,renamed,no label,user2,January Deadline,1485469976
7,1/26/17,milestoned,no label,user2,January Deadline,1485469956
7,1/26/17,assigned,no label,user0,January Deadline,1485469952
7,1/26/17,assigned,no label,user3,January Deadline,1485469952
7,1/26/17,assigned,no label,user1,January Deadline,1485469952
7,1/26/17,assigned,no label,user2,January Deadline,1485469952
8,2/1/17,closed,no label,user2,,1485921950
8,1/28/17,assigned,no label,user0,,1485561945
8,1/28/17,assigned,no label,user3,,1485561945
8,1/28/17,assigned,no label,user1,,1485561945
8,1/28/17,assigned,no label,user2,,1485561945
9,2/1/17,closed,no label,user2,January Deadline,1485921451
9,2/1/17,subscribed,no label,user3,January Deadline,1485921363
9,2/1/17,mentioned,no label,user3,January Deadline,1485921363
9,2/1/17,subscribed,no label,user1,January Deadline,1485913080
9,2/1/17,mentioned,no label,user1,January Deadline,1485913080
9,1/31/17,subscribed,no label,user3,January Deadline,1485895641
9,1/31/17,mentioned,no label,user3,January Deadline,1485895641
9,1/31/17,subscribed,no label,user0,January Deadline,1485895641
9,1/31/17,mentioned,no label,user0,January Deadline,1485895641
9,1/31/17,subscribed,no label,user1,January Deadline,1485886550
9,1/31/17,mentioned,no label,user1,January Deadline,1485886550
9,1/31/17,subscribed,no label,user2,January Deadline,1485886550
