comment_id,issue_id,user_id,created_at,updated_at,created_convert,updated_convert
278833763,1,user0,1486690954,1486690954,2/10/17,2/10/17
278946929,1,user0,1486734853,1486734853,2/10/17,2/10/17
278947080,1,user0,1486734901,1486734901,2/10/17,2/10/17
279087400,1,user0,1486766737,1486766737,2/10/17,2/10/17
279122096,1,user0,1486789794,1486789794,2/11/17,2/11/17
279234323,1,user0,1486921014,1486921014,2/12/17,2/12/17
279237592,1,user0,1486924035,1486924035,2/12/17,2/12/17
279248601,1,user0,1486933335,1486933335,2/12/17,2/12/17
279276014,1,user0,1486950588,1486950588,2/13/17,2/13/17
280531346,1,user0,1487298547,1487298547,2/17/17,2/17/17
278840572,1,user2,1486693686,1486693686,2/10/17,2/10/17
279406389,2,user0,1486996001,1486996001,2/13/17,2/13/17
279275884,3,user0,1486950498,1486950498,2/13/17,2/13/17
280337469,4,user0,1487253656,1487253656,2/16/17,2/16/17
280337504,5,user0,1487253665,1487253665,2/16/17,2/16/17
280523796,6,user0,1487295719,1487295719,2/17/17,2/17/17
280531289,7,user0,1487298525,1487298525,2/17/17,2/17/17
280531770,8,user1,1487298718,1487298718,2/17/17,2/17/17
280075836,8,user0,1487179139,1487179139,2/15/17,2/15/17
280855425,13,user1,1487434404,1487434404,2/18/17,2/18/17
280858802,13,user1,1487437401,1487437401,2/18/17,2/18/17
280844280,13,user0,1487422959,1487422959,2/18/17,2/18/17
280856311,13,user0,1487435214,1487435214,2/18/17,2/18/17
280856226,13,user2,1487435132,1487435132,2/18/17,2/18/17
281133608,14,user1,1487610479,1487610479,2/20/17,2/20/17
281137991,14,user1,1487611635,1487611635,2/20/17,2/20/17
281138371,14,user1,1487611734,1487611804,2/20/17,2/20/17
281077891,14,user0,1487596944,1487596944,2/20/17,2/20/17
281139468,14,user0,1487612015,1487612015,2/20/17,2/20/17
281139985,14,user0,1487612149,1487612149,2/20/17,2/20/17
282126798,17,user0,1487885310,1487885310,2/23/17,2/23/17
285565103,18,user1,1489117283,1489117283,3/10/17,3/10/17
285899256,18,user1,1489265553,1489265553,3/11/17,3/11/17
294010414,18,user1,1492114627,1492114627,4/13/17,4/13/17
285674719,18,user0,1489154184,1489154184,3/10/17,3/10/17
285906219,18,user0,1489272300,1489272300,3/11/17,3/11/17
285570772,19,user0,1489119085,1489119085,3/10/17,3/10/17
285561141,20,user1,1489115433,1489115433,3/10/17,3/10/17
285559955,20,user0,1489114888,1489114888,3/10/17,3/10/17
285561365,20,user0,1489115551,1489115551,3/10/17,3/10/17
285561648,20,user0,1489115675,1489115675,3/10/17,3/10/17
289333771,24,user0,1490578265,1490578265,3/27/17,3/27/17
