,date,counts
1,1/23/17,3
2,1/24/17,17
3,1/26/17,9
4,1/28/17,5
5,1/30/17,3
6,1/31/17,9
7,2/1/17,3
8,2/10/17,3
9,2/15/17,9
10,2/23/17,23
11,2/25/17,1
12,2/27/17,2
13,2/28/17,12
14,2/7/17,14
15,2/8/17,2
16,3/1/17,2
17,3/14/17,1
18,3/23/17,1
19,3/30/17,8
20,3/31/17,5
21,4/3/17,10
