comment_id,issue_id,user_id,created_at,updated_at,created_convert,updated_convert
280870005,46,user1,1487447180,1487447180,2/18/17,2/18/17
280870260,46,user0,1487447434,1487447434,2/18/17,2/18/17
280870440,46,user1,1487447622,1487447622,2/18/17,2/18/17
280870542,46,user1,1487447735,1487447735,2/18/17,2/18/17
280876902,6,user1,1487453850,1487453850,2/18/17,2/18/17
280879492,46,user0,1487456409,1487456409,2/18/17,2/18/17
280880531,46,user1,1487457469,1487457469,2/18/17,2/19/17
280932564,33,user1,1487524066,1487524066,2/19/17,2/19/17
280933055,24,user1,1487524494,1487524494,2/19/17,2/19/17
280933581,24,user0,1487525008,1487525008,2/19/17,2/19/17
280937225,24,user1,1487528403,1487528403,2/19/17,2/19/17
280944968,24,user0,1487535060,1487535060,2/19/17,2/20/17
281005144,37,user1,1487575233,1487575233,2/20/17,2/20/17
281005349,36,user1,1487575310,1487575310,2/20/17,2/20/17
281134584,50,user2,1487610722,1487610722,2/20/17,2/20/17
281134664,47,user2,1487610739,1487610739,2/20/17,2/20/17
281134810,23,user2,1487610777,1487610777,2/20/17,2/20/17
281140831,27,user0,1487612388,1487612388,2/20/17,2/20/17
281141048,46,user0,1487612455,1487612455,2/20/17,2/20/17
281141336,17,user0,1487612537,1487612537,2/20/17,2/20/17
281142631,36,user0,1487612902,1487612902,2/20/17,2/20/17
281154514,5,user0,1487616313,1487616313,2/20/17,2/20/17
281175979,5,user2,1487622997,1487622997,2/20/17,2/20/17
281178965,24,user2,1487624022,1487624022,2/20/17,2/21/17
281233763,5,user2,1487646809,1487646809,2/21/17,2/21/17
281234160,50,user2,1487646995,1487646995,2/21/17,2/21/17
281350510,4,user0,1487685341,1487685341,2/21/17,2/21/17
281350726,6,user0,1487685397,1487685397,2/21/17,2/21/17
281364901,48,user0,1487688517,1487688517,2/21/17,2/21/17
281373887,48,user1,1487690343,1487690343,2/21/17,2/21/17
281374349,6,user1,1487690434,1487690434,2/21/17,2/21/17
281483386,24,user0,1487711825,1487711825,2/21/17,2/21/17
281493952,5,user2,1487714076,1487714076,2/21/17,2/23/17
282004716,5,user0,1487859981,1487859981,2/23/17,2/23/17
282109372,47,user1,1487881287,1487881287,2/23/17,2/24/17
282208239,61,user1,1487914302,1487915873,2/24/17,2/24/17
282211013,37,user1,1487915713,1487915713,2/24/17,3/1/17
283363870,62,user1,1488380538,1488380538,3/1/17,3/4/17
284164570,61,user1,1488646659,1488655495,3/4/17,3/4/17
284175987,65,user1,1488656685,1488656685,3/4/17,3/4/17
284176054,65,user0,1488656769,1488656769,3/4/17,3/4/17
284176389,65,user1,1488657106,1488657106,3/4/17,3/4/17
284176445,65,user0,1488657157,1488657157,3/4/17,3/4/17
284176569,65,user2,1488657287,1488657287,3/4/17,3/4/17
284176639,65,user1,1488657348,1488657348,3/4/17,3/4/17
284176681,65,user1,1488657385,1488657385,3/4/17,3/4/17
284176713,65,user0,1488657424,1488657424,3/4/17,3/4/17
284176800,65,user2,1488657513,1488657513,3/4/17,3/5/17
284197831,65,user0,1488677166,1488677166,3/5/17,3/5/17
284243699,65,user1,1488733540,1488733540,3/5/17,3/5/17
284259094,69,user1,1488745114,1488745114,3/5/17,3/7/17
284493413,61,user1,1488826312,1488924433,3/6/17,3/7/17
284879833,59,user2,1488925415,1488925415,3/7/17,3/7/17
284880126,37,user2,1488925477,1488925477,3/7/17,3/7/17
284880582,61,user2,1488925581,1488925581,3/7/17,3/7/17
284889192,48,user2,1488927707,1488927707,3/7/17,3/8/17
284918247,61,user0,1488936909,1488936909,3/8/17,3/8/17
284928750,71,user1,1488940662,1488940662,3/8/17,3/8/17
285129752,24,user1,1488998604,1488998604,3/8/17,3/8/17
285130726,61,user1,1488998821,1488998821,3/8/17,3/8/17
285205527,44,user1,1489016113,1489016113,3/8/17,3/9/17
285234461,44,user1,1489025952,1489025952,3/9/17,3/9/17
285243198,82,user1,1489029573,1489029610,3/9/17,3/9/17
285248314,60,user1,1489032038,1489032038,3/9/17,3/13/17
286015653,86,user1,1489381063,1489381063,3/13/17,3/13/17
286185782,50,user0,1489426963,1489426963,3/13/17,3/13/17
286185857,85,user0,1489426977,1489426977,3/13/17,3/13/17
286186178,79,user0,1489427036,1489427036,3/13/17,3/13/17
286186283,84,user0,1489427053,1489427053,3/13/17,3/15/17
286823928,84,user1,1489600023,1489600023,3/15/17,3/15/17
286824346,85,user1,1489600091,1489600091,3/15/17,3/15/17
286824507,50,user1,1489600119,1489600119,3/15/17,3/21/17
288189066,87,user1,1490123856,1490123883,3/21/17,3/21/17
288204584,87,user2,1490127370,1490127370,3/21/17,3/21/17
288222340,87,user0,1490131190,1490131190,3/21/17,3/21/17
288225941,87,user2,1490132003,1490132003,3/21/17,4/13/17
294009649,85,user1,1492114420,1492114420,4/13/17,4/13/17
294009784,87,user1,1492114453,1492114453,4/13/17,4/13/17
294009850,84,user1,1492114472,1492114472,4/13/17,4/13/17
294009913,79,user1,1492114490,1492114490,4/13/17,4/13/17
294009984,50,user1,1492114509,1492114509,4/13/17,1/1/70
