issue_id,action_time,action,what,user,milestone,when
1,2/9/17,moved_columns_in_project,no label,user2,Code base setup,1486665614
1,2/9/17,added_to_project,no label,user2,Code base setup,1486665576
1,2/8/17,moved_columns_in_project,no label,user0,Code base setup,1486587251
1,2/8/17,moved_columns_in_project,no label,user0,Code base setup,1486587247
1,2/8/17,closed,no label,user2,Code base setup,1486586053
1,2/8/17,subscribed,no label,user0,Code base setup,1486585437
1,2/8/17,mentioned,no label,user0,Code base setup,1486585437
1,2/8/17,added_to_project,no label,user0,Code base setup,1486572330
1,2/8/17,labeled,UI,user0,Code base setup,1486572018
1,2/8/17,labeled,help wanted,user0,Code base setup,1486571887
1,2/8/17,milestoned,no label,user0,Code base setup,1486571879
1,2/8/17,assigned,no label,user2,Code base setup,1486571876
1,2/8/17,assigned,no label,user1,Code base setup,1486571876
2,3/11/17,moved_columns_in_project,no label,user2,Magic link setup complete,1489246436
2,2/17/17,moved_columns_in_project,no label,user0,Magic link setup complete,1487299106
2,2/17/17,closed,no label,user0,Magic link setup complete,1487299053
2,2/13/17,moved_columns_in_project,no label,user0,Magic link setup complete,1486996101
2,2/9/17,added_to_project,no label,user2,Magic link setup complete,1486665573
2,2/9/17,moved_columns_in_project,no label,user0,Magic link setup complete,1486657273
2,2/9/17,subscribed,no label,user1,Magic link setup complete,1486610657
2,2/9/17,mentioned,no label,user1,Magic link setup complete,1486610657
2,2/8/17,added_to_project,no label,user0,Magic link setup complete,1486572340
2,2/8/17,labeled,MagicLink,user0,Magic link setup complete,1486571908
2,2/8/17,assigned,no label,user0,Magic link setup complete,1486571902
2,2/8/17,assigned,no label,user1,Magic link setup complete,1486571897
2,2/8/17,milestoned,no label,user0,Magic link setup complete,1486571688
3,3/11/17,moved_columns_in_project,no label,user2,Fingerprint authentication complete,1489246446
3,2/20/17,moved_columns_in_project,no label,user0,Fingerprint authentication complete,1487612352
3,2/17/17,closed,no label,user1,Fingerprint authentication complete,1487306515
3,2/9/17,added_to_project,no label,user0,Fingerprint authentication complete,1486674453
3,2/8/17,added_to_project,no label,user0,Fingerprint authentication complete,1486572350
3,2/8/17,labeled,Fingerprint,user0,Fingerprint authentication complete,1486571926
3,2/8/17,assigned,no label,user2,Fingerprint authentication complete,1486571920
3,2/8/17,assigned,no label,user0,Fingerprint authentication complete,1486571920
3,2/8/17,assigned,no label,user1,Fingerprint authentication complete,1486571920
3,2/8/17,milestoned,no label,user0,Fingerprint authentication complete,1486571712
4,3/11/17,moved_columns_in_project,no label,user2,Testing and debugging,1489246411
4,2/21/17,moved_columns_in_project,no label,user0,Testing and debugging,1487711037
4,2/21/17,closed,no label,user0,Testing and debugging,1487685341
4,2/9/17,added_to_project,no label,user0,Testing and debugging,1486674447
4,2/8/17,added_to_project,no label,user0,Testing and debugging,1486572337
4,2/8/17,labeled,Fingerprint,user0,Testing and debugging,1486571940
4,2/8/17,assigned,no label,user2,Testing and debugging,1486571936
4,2/8/17,assigned,no label,user0,Testing and debugging,1486571936
4,2/8/17,assigned,no label,user1,Testing and debugging,1486571936
4,2/8/17,milestoned,no label,user0,Testing and debugging,1486571741
5,3/11/17,moved_columns_in_project,no label,user2,Testing and debugging,1489246414
5,2/23/17,moved_columns_in_project,no label,user0,Testing and debugging,1487882856
5,2/23/17,closed,no label,user0,Testing and debugging,1487882786
5,2/20/17,subscribed,no label,user2,Testing and debugging,1487616313
5,2/20/17,mentioned,no label,user2,Testing and debugging,1487616313
5,2/16/17,subscribed,no label,user1,Testing and debugging,1487279155
5,2/16/17,mentioned,no label,user1,Testing and debugging,1487279155
5,2/16/17,subscribed,no label,user0,Testing and debugging,1487279155
5,2/16/17,mentioned,no label,user0,Testing and debugging,1487279155
5,2/9/17,added_to_project,no label,user0,Testing and debugging,1486674417
5,2/8/17,added_to_project,no label,user0,Testing and debugging,1486572335
5,2/8/17,labeled,MagicLink,user0,Testing and debugging,1486571951
5,2/8/17,assigned,no label,user2,Testing and debugging,1486571947
5,2/8/17,assigned,no label,user0,Testing and debugging,1486571947
