,date,counts
1,2/13/17,1
2,2/14/17,5
3,2/15/17,5
4,2/16/17,13
5,2/17/17,20
6,2/18/17,15
7,2/19/17,5
8,2/20/17,12
9,2/21/17,9
10,2/23/17,2
11,2/24/17,2
12,2/8/17,3
13,2/9/17,34
14,3/1/17,1
15,3/13/17,5
16,3/15/17,3
17,3/21/17,4
18,3/4/17,10
19,3/5/17,3
20,3/6/17,1
21,3/7/17,4
22,3/8/17,5
23,3/9/17,3
24,4/13/17,5
