week,commits,additions,additions_per_commit
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,18,4553,252.9444444
6,30,587,19.56666667
7,3,269,89.66666667
8,1,55,55
9,7,683,97.57142857
10,0,0,0
11,0,0,0
12,5,6,1.2
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
