week,commits,additions,additions_per_commit
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,9,2904,322.6666667
6,23,1763,76.65217391
7,15,470,31.33333333
8,6,25,4.166666667
9,62,2229,35.9516129
10,0,0,0
11,0,0,0
12,4,2,0.5
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
