name,total_loc,week1_date,week1_loc,week2_loc,week3_loc,week4_loc,week5_loc,week6_loc,week7_loc,week8_loc,week9_loc,week10_loc,week11_loc,week12_loc,week13_loc,week14_loc,week15_loc
user1,1366,2017-01-21 19:00:00,0,0,0,0,47,308,0,232,11,0,0,0,758,10,0
user2,4766,2017-01-21 19:00:00,0,0,0,0,3784,0,0,982,0,0,0,0,0,0,0
user3,83660,2017-01-21 19:00:00,6981,586,0,5380,55056,4887,0,348,0,0,5088,0,4776,452,106
user4,113769,2017-01-21 19:00:00,0,0,0,0,5202,0,0,2657,0,105910,0,0,0,0,0
