week,commits,additions,additions_per_commit
1,1,2,2
2,7,16,2.285714286
3,0,0,0
4,4,1,0.25
5,1,61566,61566
6,14,1370,97.85714286
7,25,11743,469.72
8,12,128,10.66666667
9,17,466,27.41176471
10,0,0,0
11,4,66,16.5
12,43,2257,52.48837209
13,5,234,46.8
14,2,68,34
15,0,0,0
16,0,0,0
