name,total_commits,week1_date,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15
user1,16,2017-01-21 19:00:00,0,0,0,0,2,3,0,2,1,0,0,0,6,2,0
user2,25,2017-01-21 19:00:00,0,0,0,0,10,0,0,3,0,0,0,0,0,12,0
user3,62,2017-01-21 19:00:00,6,3,0,2,13,14,0,4,0,0,7,0,2,9,2
user4,205,2017-01-21 19:00:00,0,0,0,0,10,0,0,33,0,162,0,0,0,0,0
