week,commits,additions,additions_per_commit
1,3,684,228
2,7,69,9.857142857
3,8,324,40.5
4,7,23,3.285714286
5,0,0,0
6,3,108,36
7,11,5345,485.9090909
8,14,32112,2293.714286
9,4,700,175
10,0,0,0
11,0,0,0
12,0,0,0
13,2,754,377
14,0,0,0
15,0,0,0
16,0,0,0
