id,state,pull_request,created_at,closed_at,duration,created_by,comments,assignees,milestone,labels
51,closed,Yes,2017-04-27T20:06:55Z,2017-04-27T20:08:25Z,0,user1,0,[],None,None
50,closed,Yes,2017-03-31T00:12:12Z,2017-03-31T00:38:17Z,0,user2,5,['user3'],None,None
49,closed,Yes,2017-03-31T00:11:38Z,2017-03-31T00:12:54Z,0,user2,0,[],None,None
48,closed,Yes,2017-03-31T00:11:13Z,2017-03-31T00:12:38Z,0,user2,0,[],None,None
47,closed,No,2017-03-30T21:22:52Z,2017-04-11T19:51:17Z,286,user1,12,"['user1', 'user3', 'user4', 'user2']",2017-04-07T07:00:00Z,1
46,closed,No,2017-03-20T15:10:31Z,2017-03-31T17:59:45Z,266,user4,5,"['user1', 'user3', 'user4', 'user2']",2017-04-07T07:00:00Z,1
45,closed,No,2017-03-16T20:40:21Z,2017-04-18T19:26:54Z,790,user1,0,"['user1', 'user3', 'user4', 'user2']",2017-04-07T07:00:00Z,3
44,closed,No,2017-03-16T20:39:59Z,2017-04-11T19:50:53Z,623,user1,0,"['user1', 'user3', 'user4', 'user2']",2017-04-07T07:00:00Z,3
43,open,No,2017-03-01T15:14:43Z,None,None,user5,2,[],None,None
42,closed,No,2017-02-28T20:09:07Z,2017-02-28T20:12:27Z,0,user1,1,['user3'],2017-03-14T07:00:00Z,2
41,closed,No,2017-02-28T20:04:02Z,2017-03-30T20:42:18Z,720,user1,1,['user2'],2017-03-14T07:00:00Z,3
40,closed,No,2017-02-25T06:55:34Z,2017-03-30T20:48:01Z,805,user4,1,['user4'],None,1
39,closed,No,2017-02-23T21:59:17Z,2017-04-06T21:29:04Z,1007,user1,0,"['user1', 'user3', 'user4', 'user2']",2017-03-14T07:00:00Z,3
38,closed,No,2017-02-23T21:54:05Z,2017-03-30T20:48:51Z,838,user1,4,"['user1', 'user3', 'user4', 'user2']",2017-03-14T07:00:00Z,3
37,closed,No,2017-02-23T16:05:35Z,2017-02-23T18:05:41Z,2,user2,2,['user2'],2017-02-23T08:00:00Z,2
36,closed,No,2017-02-23T03:34:22Z,2017-02-25T06:44:38Z,51,user4,5,['user4'],None,2
35,closed,No,2017-02-23T03:23:03Z,2017-02-23T05:16:05Z,1,user4,1,['user4'],None,2
34,closed,No,2017-02-23T01:36:11Z,2017-02-28T06:45:49Z,125,user1,7,['user2'],2017-03-14T07:00:00Z,2
33,closed,No,2017-02-23T01:32:40Z,2017-03-31T18:00:15Z,880,user1,0,['user2'],2017-03-14T07:00:00Z,3
32,closed,No,2017-02-22T20:05:45Z,2017-03-30T20:41:23Z,864,user2,0,['user3'],2017-02-23T08:00:00Z,2
31,closed,No,2017-02-22T20:04:32Z,2017-03-30T20:40:03Z,864,user2,2,['user3'],2017-02-23T08:00:00Z,2
30,closed,No,2017-02-22T20:02:55Z,2017-02-23T18:06:12Z,22,user2,1,"['user3', 'user2']",2017-02-23T08:00:00Z,2
29,closed,No,2017-02-22T14:04:00Z,2017-03-01T01:40:22Z,155,user1,1,['user1'],2017-03-14T07:00:00Z,2
28,closed,No,2017-02-22T03:52:21Z,2017-02-23T01:38:36Z,21,user1,0,['user1'],2017-03-14T07:00:00Z,2
27,closed,No,2017-02-22T03:51:33Z,2017-02-23T01:29:53Z,21,user1,1,['user1'],2017-03-14T07:00:00Z,2
26,closed,No,2017-02-22T03:50:23Z,2017-02-28T19:52:51Z,160,user1,1,['user1'],2017-03-14T07:00:00Z,2
25,closed,No,2017-02-22T01:47:43Z,2017-02-23T01:36:47Z,23,user1,1,[],2017-03-14T07:00:00Z,2
24,closed,No,2017-02-22T01:47:13Z,2017-03-30T20:39:13Z,882,user1,4,['user2'],2017-03-14T07:00:00Z,2
23,closed,No,2017-02-22T01:37:28Z,2017-02-28T18:24:40Z,160,user1,3,['user1'],2017-03-14T07:00:00Z,2
22,closed,No,2017-02-22T01:37:04Z,2017-02-23T01:37:32Z,24,user1,1,['user1'],2017-03-14T07:00:00Z,2
21,closed,No,2017-02-22T00:54:02Z,2017-02-23T01:37:11Z,24,user1,1,['user1'],2017-03-14T07:00:00Z,2
20,closed,No,2017-02-22T00:53:03Z,2017-02-23T01:39:23Z,24,user1,1,['user1'],2017-03-14T07:00:00Z,2
19,closed,No,2017-02-22T00:51:35Z,2017-02-23T01:35:26Z,24,user1,1,['user1'],2017-03-14T07:00:00Z,2
18,closed,No,2017-02-22T00:49:27Z,2017-02-23T01:35:09Z,24,user1,1,['user1'],2017-03-14T07:00:00Z,2
17,closed,No,2017-02-07T21:53:54Z,2017-02-22T00:47:31Z,338,user1,6,"['user1', 'user4']",None,None
16,closed,No,2017-02-07T18:00:34Z,2017-02-23T01:34:25Z,367,user2,0,[],2017-02-23T08:00:00Z,2
15,closed,No,2017-02-07T17:27:36Z,2017-02-15T16:03:24Z,190,user2,3,"['user1', 'user3', 'user4', 'user2']",2017-02-11T08:00:00Z,2
14,closed,No,2017-02-07T17:25:01Z,2017-02-15T16:03:52Z,190,user2,1,"['user1', 'user3', 'user4', 'user2']",2017-02-11T08:00:00Z,2
13,closed,No,2017-02-07T17:20:42Z,2017-02-15T16:02:36Z,190,user2,2,"['user1', 'user3', 'user4', 'user2']",2017-02-11T08:00:00Z,2
12,closed,No,2017-02-07T17:14:41Z,2017-02-15T16:01:51Z,190,user2,3,"['user1', 'user3', 'user4', 'user2']",2017-02-11T08:00:00Z,2
11,closed,No,2017-02-07T02:23:35Z,2017-02-07T21:41:29Z,19,user2,5,"['user1', 'user3', 'user4', 'user2']",None,1
10,closed,No,2017-02-06T21:59:48Z,2017-02-08T18:32:45Z,44,user2,8,"['user1', 'user3', 'user4', 'user2']",None,1
9,closed,No,2017-01-28T22:35:59Z,2017-02-01T03:57:31Z,77,user1,15,"['user1', 'user3', 'user4', 'user2']",2017-01-31T08:00:00Z,None
8,closed,No,2017-01-28T00:05:45Z,2017-02-01T04:05:50Z,100,user1,4,"['user1', 'user3', 'user4', 'user2']",None,None
7,closed,No,2017-01-26T22:32:32Z,2017-01-26T22:36:24Z,0,user1,4,"['user1', 'user3', 'user4', 'user2']",2017-01-31T08:00:00Z,None
6,closed,No,2017-01-26T22:14:10Z,2017-02-01T04:05:49Z,125,user1,1,['user3'],2017-01-31T08:00:00Z,None
5,closed,No,2017-01-26T22:13:40Z,2017-02-01T04:05:49Z,125,user1,4,"['user1', 'user3', 'user4', 'user2']",2017-01-31T08:00:00Z,None
4,closed,No,2017-01-26T22:12:51Z,2017-01-28T00:04:03Z,25,user1,0,['user1'],2017-01-31T08:00:00Z,None
