id,state,pull_request,created_at,closed_at,duration,created_by,comments,assignees,milestone,labels,bug
36,closed,No,2017-02-17T04:27:03Z,2017-02-20T17:48:22Z,85,user1,2,['user1'],2017-02-19T08:00:00Z,1,False
35,closed,No,2017-02-17T04:26:59Z,2017-02-17T14:19:51Z,9,user1,1,['user1'],2017-02-19T08:00:00Z,1,False
34,closed,No,2017-02-17T04:26:53Z,2017-02-18T19:29:36Z,39,user1,1,['user1'],2017-02-19T08:00:00Z,2,False
33,closed,No,2017-02-17T04:26:49Z,2017-02-19T17:07:47Z,60,user1,1,['user1'],2017-02-19T08:00:00Z,1,False
32,closed,Yes,2017-02-16T23:09:31Z,2017-02-16T23:09:43Z,0,user1,0,[],None,None,False
31,closed,No,2017-02-16T19:00:57Z,2017-02-16T19:44:51Z,0,user1,1,['user1'],2017-02-19T08:00:00Z,1,False
30,closed,No,2017-02-16T16:15:05Z,2017-02-16T18:07:25Z,1,user1,1,['user1'],None,1,False
29,closed,No,2017-02-16T16:15:00Z,2017-02-17T04:20:07Z,12,user1,1,['user1'],2017-02-19T08:00:00Z,1,False
28,closed,No,2017-02-16T16:14:54Z,2017-02-17T04:23:56Z,12,user1,1,['user1'],2017-02-19T08:00:00Z,1,False
27,closed,No,2017-02-16T15:56:10Z,2017-02-20T17:39:48Z,97,user1,8,"['user1', 'user2', 'user3']",2017-02-19T08:00:00Z,2,False
26,closed,No,2017-02-14T21:50:55Z,2017-02-15T08:18:53Z,10,user1,5,['user1'],2017-03-31T07:00:00Z,1,True
25,closed,Yes,2017-02-14T18:25:14Z,2017-02-14T18:25:24Z,0,user1,0,[],None,None,False
24,closed,No,2017-02-14T14:11:33Z,2017-03-08T18:43:24Z,532,user2,15,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,1,False
23,closed,No,2017-02-09T21:04:42Z,2017-02-20T17:12:57Z,260,user3,5,['user3'],2017-02-19T08:00:00Z,1,False
22,closed,Yes,2017-02-09T20:39:25Z,2017-02-09T20:39:32Z,0,user2,0,[],None,None,False
21,closed,No,2017-02-09T18:29:53Z,2017-02-09T20:40:29Z,2,user3,7,[],None,1,False
20,closed,Yes,2017-02-09T17:38:43Z,2017-02-09T17:38:49Z,0,user2,0,[],None,None,False
19,closed,Yes,2017-02-09T16:17:32Z,2017-02-09T17:00:42Z,0,user3,0,[],None,None,False
18,closed,No,2017-02-09T03:19:20Z,2017-02-15T08:21:20Z,149,user2,6,"['user1', 'user2']",2017-02-19T08:00:00Z,4,False
17,closed,No,2017-02-09T02:40:57Z,2017-02-20T17:47:56Z,279,user2,3,['user1'],2017-02-19T08:00:00Z,1,False
16,closed,No,2017-02-09T02:38:07Z,2017-02-09T18:42:58Z,16,user2,15,['user3'],2017-02-11T08:00:00Z,1,False
15,closed,No,2017-02-09T02:37:56Z,2017-02-09T16:15:05Z,13,user3,1,['user3'],2017-02-11T08:00:00Z,2,False
14,closed,No,2017-02-09T01:44:35Z,2017-02-09T18:43:16Z,16,user2,4,"['user1', 'user2', 'user3']",2017-02-09T08:00:00Z,2,False
13,closed,Yes,2017-02-08T21:28:17Z,2017-02-08T21:28:28Z,0,user3,0,[],None,None,False
12,closed,No,2017-02-08T20:53:35Z,2017-02-09T21:06:40Z,24,user2,1,"['user1', 'user3']",2017-02-09T08:00:00Z,1,False
11,closed,No,2017-02-08T16:49:36Z,2017-02-23T20:45:15Z,363,user2,0,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,3,False
10,closed,No,2017-02-08T16:49:03Z,2017-02-23T20:45:28Z,363,user2,0,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,3,False
9,closed,No,2017-02-08T16:48:21Z,2017-02-23T20:45:37Z,363,user2,0,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,3,False
8,closed,No,2017-02-08T16:46:45Z,2017-02-16T22:42:24Z,197,user2,1,['user2'],2017-02-19T08:00:00Z,1,False
7,closed,No,2017-02-08T16:37:43Z,2017-02-09T16:15:22Z,23,user2,1,['user3'],2017-02-11T08:00:00Z,1,False
6,closed,No,2017-02-08T16:37:36Z,2017-02-21T15:20:34Z,310,user2,11,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,1,False
5,closed,No,2017-02-08T16:37:19Z,2017-02-23T20:46:26Z,364,user2,6,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,1,False
4,closed,No,2017-02-08T16:35:41Z,2017-02-21T13:55:41Z,309,user2,1,"['user1', 'user2', 'user3']",2017-03-31T07:00:00Z,1,False
3,closed,No,2017-02-08T16:35:12Z,2017-02-17T04:41:55Z,204,user2,1,"['user1', 'user2', 'user3']",2017-02-19T08:00:00Z,1,False
2,closed,No,2017-02-08T16:34:48Z,2017-02-17T02:37:33Z,202,user2,2,"['user1', 'user2']",2017-02-19T08:00:00Z,1,False
1,closed,No,2017-02-08T16:25:31Z,2017-02-08T20:34:13Z,4,user2,3,"['user1', 'user3']",2017-02-09T08:00:00Z,2,False
