id,state,pull_request,created_at,closed_at,duration,created_by,comments,assignees,milestone,labels
37,closed,Yes,2017-03-10T03:58:53Z,2017-03-10T03:59:12Z,0,user1,0,[],None,None
36,closed,No,2017-03-01T14:44:32Z,2017-04-20T05:31:36Z,1190,user2,2,['user1'],None,None
35,closed,Yes,2017-03-01T04:10:15Z,2017-03-01T04:10:22Z,0,user1,0,[],None,None
34,closed,Yes,2017-03-01T02:43:26Z,2017-03-01T02:43:31Z,0,user3,0,[],None,None
33,closed,Yes,2017-02-28T05:36:12Z,2017-02-28T05:36:21Z,0,user1,0,[],None,None
32,closed,No,2017-02-28T04:04:50Z,2017-02-28T05:29:06Z,1,user3,1,['user1'],2017-02-28T08:00:00Z,None
31,closed,Yes,2017-02-28T04:02:51Z,2017-02-28T04:02:59Z,0,user3,0,[],None,None
30,closed,Yes,2017-02-23T23:02:45Z,2017-02-23T23:02:50Z,0,user1,0,[],None,None
29,closed,Yes,2017-02-23T08:58:52Z,2017-02-23T08:59:15Z,0,user4,0,[],None,None
28,closed,No,2017-02-23T08:08:06Z,2017-02-28T04:05:03Z,115,user3,1,"['user1', 'user3']",2017-02-28T08:00:00Z,None
27,closed,Yes,2017-02-23T08:04:50Z,2017-02-23T08:04:57Z,0,user3,0,[],None,None
26,closed,Yes,2017-02-21T23:49:51Z,2017-02-21T23:49:58Z,0,user4,0,[],None,None
25,closed,Yes,2017-02-21T08:12:26Z,2017-02-21T08:12:31Z,0,user3,0,[],None,None
24,closed,Yes,2017-02-21T07:35:51Z,2017-02-21T07:35:58Z,0,user4,0,[],None,None
23,closed,Yes,2017-02-20T07:24:11Z,2017-02-20T07:24:17Z,0,user3,0,[],None,None
22,closed,Yes,2017-02-20T06:35:38Z,2017-02-20T06:35:48Z,0,user3,0,[],None,None
21,closed,Yes,2017-02-20T04:02:17Z,2017-02-20T04:02:27Z,0,user3,0,[],None,None
20,closed,No,2017-02-16T20:54:46Z,2017-02-16T20:55:18Z,0,user3,1,['user3'],2017-02-28T08:00:00Z,None
19,closed,No,2017-02-07T22:06:53Z,2017-02-23T21:46:03Z,383,user1,1,"['user1', 'user4']",2017-02-28T08:00:00Z,1
18,closed,No,2017-02-07T21:59:06Z,2017-02-21T08:17:14Z,322,user1,1,"['user1', 'user4']",2017-02-28T08:00:00Z,None
17,closed,No,2017-02-07T21:56:28Z,2017-02-14T02:51:28Z,148,user3,3,"['user1', 'user3', 'user4']",2017-02-13T08:00:00Z,None
16,closed,No,2017-02-07T21:32:30Z,2017-02-14T03:36:26Z,150,user3,1,"['user1', 'user3']",2017-02-13T08:00:00Z,None
15,closed,No,2017-02-07T21:28:20Z,2017-02-22T02:51:33Z,341,user3,2,['user4'],2017-02-28T08:00:00Z,None
14,closed,No,2017-02-07T21:27:54Z,2017-02-23T08:06:07Z,370,user3,2,['user1'],2017-02-28T08:00:00Z,None
13,closed,No,2017-02-07T21:27:20Z,2017-02-20T06:39:29Z,297,user3,2,['user3'],2017-02-28T08:00:00Z,None
12,closed,No,2017-02-07T21:26:23Z,2017-02-14T04:30:56Z,151,user1,1,"['user1', 'user4']",2017-02-13T08:00:00Z,None
11,closed,No,2017-02-07T21:26:16Z,2017-02-27T23:07:53Z,481,user3,1,[],2017-02-28T08:00:00Z,None
10,closed,No,2017-02-07T21:25:30Z,2017-02-28T05:29:34Z,488,user3,1,[],2017-02-28T08:00:00Z,None
9,closed,No,2017-02-07T21:25:17Z,2017-02-14T02:51:14Z,149,user1,1,"['user1', 'user4']",2017-02-13T08:00:00Z,None
8,closed,No,2017-02-06T04:22:44Z,2017-02-09T09:05:34Z,76,user3,0,['user5'],2017-01-31T08:00:00Z,None
7,closed,Yes,2017-01-30T16:50:14Z,2017-01-30T16:50:58Z,0,user1,0,[],None,None
6,closed,No,2017-01-30T06:50:53Z,2017-01-31T20:52:46Z,38,user4,1,"['user1', 'user3']",2017-01-31T08:00:00Z,None
5,closed,No,2017-01-29T03:46:19Z,2017-01-30T19:57:47Z,40,user3,2,"['user1', 'user3', 'user4']",2017-01-31T08:00:00Z,None
4,closed,No,2017-01-21T08:02:40Z,2017-01-24T01:21:04Z,65,user1,1,[],2017-01-31T08:00:00Z,None
3,closed,No,2017-01-21T08:02:17Z,2017-01-29T03:52:40Z,187,user1,1,[],2017-01-31T08:00:00Z,None
2,closed,Yes,2017-01-21T08:00:10Z,2017-01-21T08:00:39Z,0,user1,0,[],None,None
1,closed,Yes,2017-01-19T07:02:15Z,2017-01-19T07:02:30Z,0,user1,0,[],None,None
