id,state,pull_request,created_at,closed_at,duration,created_by,comments,assignees,milestone,labels,bug
24,closed,No,2017-03-27T01:21:53Z,2017-03-27T01:31:05Z,0,user1,1,"['user1', 'user2']",None,1,True
23,closed,Yes,2017-03-10T03:24:09Z,2017-03-10T03:24:16Z,0,user2,0,[],None,None,False
22,closed,Yes,2017-03-10T03:14:21Z,2017-03-10T03:14:26Z,0,user2,0,[],None,None,False
21,closed,Yes,2017-03-10T03:01:38Z,2017-03-10T03:01:43Z,0,user2,0,[],None,None,False
20,closed,No,2017-03-09T19:38:09Z,2017-03-10T03:17:09Z,7,user1,4,"['user1', 'user2']",2017-03-14T07:00:00Z,1,True
19,closed,No,2017-03-09T00:25:10Z,2017-03-10T04:11:25Z,27,user1,1,"['user1', 'user2']",2017-03-14T07:00:00Z,1,False
18,closed,No,2017-02-28T17:55:22Z,2017-04-13T20:17:07Z,1058,user2,5,['user2'],None,1,False
17,closed,No,2017-02-23T14:27:11Z,2017-02-23T21:28:30Z,7,user2,1,['user2'],None,1,False
16,closed,Yes,2017-02-23T14:25:46Z,2017-02-23T14:25:52Z,0,user2,0,[],None,None,False
15,closed,Yes,2017-02-20T17:36:54Z,2017-02-20T17:37:00Z,0,user2,0,[],None,None,False
14,closed,No,2017-02-20T07:10:40Z,2017-02-20T13:22:24Z,6,user1,6,['user2'],None,1,True
13,closed,No,2017-02-18T08:22:09Z,2017-02-18T17:03:21Z,8,user1,5,"['user1', 'user2', 'user3']",None,1,False
12,closed,Yes,2017-02-17T14:19:08Z,2017-02-17T14:19:32Z,0,user2,0,[],None,None,False
11,closed,Yes,2017-02-17T02:28:30Z,2017-02-17T02:28:35Z,0,user2,0,[],None,None,False
10,closed,Yes,2017-02-17T01:41:10Z,2017-02-17T01:41:40Z,0,user2,0,[],None,None,False
9,closed,Yes,2017-02-16T14:00:40Z,2017-02-16T14:00:47Z,0,user2,0,[],None,None,False
8,closed,No,2017-02-15T08:28:19Z,2017-02-17T02:31:58Z,42,user1,2,['user2'],None,1,True
7,closed,No,2017-02-14T22:38:36Z,2017-02-17T02:28:45Z,51,user2,1,['user2'],None,1,False
6,closed,No,2017-02-14T22:38:07Z,2017-02-17T01:41:59Z,51,user2,1,['user2'],None,1,False
5,closed,No,2017-02-14T22:37:43Z,2017-02-16T14:01:05Z,39,user2,1,['user2'],None,1,False
4,closed,No,2017-02-14T22:37:25Z,2017-02-16T14:00:56Z,39,user2,1,['user2'],None,1,False
3,closed,No,2017-02-09T20:42:13Z,2017-02-13T14:26:09Z,89,user2,1,['user2'],None,1,False
2,closed,No,2017-02-09T20:41:39Z,2017-02-13T14:26:41Z,89,user2,1,['user2'],None,1,False
1,closed,No,2017-02-09T20:40:53Z,2017-02-17T02:29:07Z,173,user2,11,"['user1', 'user2', 'user3']",None,1,False
